METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE
4725,TICKETLESS METER MULTISPACE,VICTORIA PARK RD,KELVIN GROVE,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Victoria Park Rd between Normanby Tce & Rochester Tce in Kelvin Grove,6,0,,153.016501,-27.455824,4000400
4726,TICKETLESS METER MULTISPACE,VICTORIA PARK RD,KELVIN GROVE,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Victoria Park Rd between Maidstone St & Carraway St in Kelvin Grove,8,0,,153.016057,-27.454582,4000401
4727,TICKETLESS METER MULTISPACE,VICTORIA PARK RD,KELVIN GROVE,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Victoria Park Rd between Maidstone St & Carraway St in Kelvin Grove,12,0,,153.015995,-27.453594,4000401
4728,TICKETLESS METER MULTISPACE,VICTORIA PARK RD,KELVIN GROVE,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Victoria Park Rd between Blamey St & Musk Ave in Kelvin Grove,4,0,,153.016183,-27.452605,4000401
4729,TICKETLESS METER MULTISPACE,MUSK AVE,KELVIN GROVE,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Musk Ave between Victoria Park Rd & Blamey St in Kelvin Grove,14,0,,153.015109,-27.452228,4000403
4730,TICKETLESS METER MULTISPACE,MUSK AVE,KELVIN GROVE,2,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$2.70,,Musk Ave between Victoria Park Rd & Blamey St in Kelvin Grove,11,0,,153.014252,-27.452857,4000423
4731,TICKETLESS METER MULTISPACE,BLAMEY ST,KELVIN GROVE,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Blameyst between Musk Ave & Victoria Park Rd in Kelvin Grove,12,0,,153.015378,-27.45316,4000406
4732,TICKETLESS METER MULTISPACE,BLAMEY ST,KELVIN GROVE,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Blameyst between Musk Ave & Victoria Park Rd in Kelvin Grove,6,0,,153.015711,-27.453113,4000406
4733,TICKETLESS METER MULTISPACE,RAMSGATE ST,KELVIN GROVE,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Ramsgate St between Blameyst & Carraway St in Kelvin Grove,7,0,,153.015196,-27.453956,4000408
4734,TICKETLESS METER MULTISPACE,CARRAWAY ST,KELVIN GROVE,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Carraway St between Ramsgate St & Victoria Park Rd in Kelvin Grove,8,0,,153.015595,-27.454318,4000409
4735,TICKETLESS METER MULTISPACE,CARRAWAY ST,KELVIN GROVE,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Carraway St between Ramsgate St & Musk Ave in Kelvin Grove,11,0,,153.014542,-27.454329,4000410
4736,TICKETLESS METER MULTISPACE,MUSK AVE,KELVIN GROVE,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",$1.60,,Musk Ave between Carraway St & Gona Pde in Kelvin Grove,8,0,,153.013855,-27.45505,4000412
